recordType,name,email,bio,description,rating,time,type,text,date,topic,tasks,title,isCompleted,dueDate,userId,courseId,specializationId,weekId
user,User 1,user1@example.com,,,,,,,,,,,,,,,,
user,User 2,user2@example.com,,,,,,,,,,,,,,,,
user,User 3,user3@example.com,,,,,,,,,,,,,,,,
user,User 4,user4@example.com,,,,,,,,,,,,,,,,
user,User 5,user5@example.com,,,,,,,,,,,,,,,,
user,User 6,user6@example.com,,,,,,,,,,,,,,,,
user,User 7,user7@example.com,,,,,,,,,,,,,,,,
user,User 8,user8@example.com,,,,,,,,,,,,,,,,
user,User 9,user9@example.com,,,,,,,,,,,,,,,,
user,User 10,user10@example.com,,,,,,,,,,,,,,,,
user,User 11,user11@example.com,,,,,,,,,,,,,,,,
user,User 12,user12@example.com,,,,,,,,,,,,,,,,
user,User 13,user13@example.com,,,,,,,,,,,,,,,,
user,User 14,user14@example.com,,,,,,,,,,,,,,,,
user,User 15,user15@example.com,,,,,,,,,,,,,,,,
user,User 16,user16@example.com,,,,,,,,,,,,,,,,
user,User 17,user17@example.com,,,,,,,,,,,,,,,,
user,User 18,user18@example.com,,,,,,,,,,,,,,,,
user,User 19,user19@example.com,,,,,,,,,,,,,,,,
user,User 20,user20@example.com,,,,,,,,,,,,,,,,
user,User 21,user21@example.com,,,,,,,,,,,,,,,,
user,User 22,user22@example.com,,,,,,,,,,,,,,,,
user,User 23,user23@example.com,,,,,,,,,,,,,,,,
user,User 24,user24@example.com,,,,,,,,,,,,,,,,
user,User 25,user25@example.com,,,,,,,,,,,,,,,,
user,User 26,user26@example.com,,,,,,,,,,,,,,,,
user,User 27,user27@example.com,,,,,,,,,,,,,,,,
user,User 28,user28@example.com,,,,,,,,,,,,,,,,
user,User 29,user29@example.com,,,,,,,,,,,,,,,,
user,User 30,user30@example.com,,,,,,,,,,,,,,,,
user,User 31,user31@example.com,,,,,,,,,,,,,,,,
user,User 32,user32@example.com,,,,,,,,,,,,,,,,
user,User 33,user33@example.com,,,,,,,,,,,,,,,,
user,User 34,user34@example.com,,,,,,,,,,,,,,,,
user,User 35,user35@example.com,,,,,,,,,,,,,,,,
user,User 36,user36@example.com,,,,,,,,,,,,,,,,
user,User 37,user37@example.com,,,,,,,,,,,,,,,,
user,User 38,user38@example.com,,,,,,,,,,,,,,,,
user,User 39,user39@example.com,,,,,,,,,,,,,,,,
user,User 40,user40@example.com,,,,,,,,,,,,,,,,
user,User 41,user41@example.com,,,,,,,,,,,,,,,,
user,User 42,user42@example.com,,,,,,,,,,,,,,,,
user,User 43,user43@example.com,,,,,,,,,,,,,,,,
user,User 44,user44@example.com,,,,,,,,,,,,,,,,
user,User 45,user45@example.com,,,,,,,,,,,,,,,,
user,User 46,user46@example.com,,,,,,,,,,,,,,,,
user,User 47,user47@example.com,,,,,,,,,,,,,,,,
user,User 48,user48@example.com,,,,,,,,,,,,,,,,
user,User 49,user49@example.com,,,,,,,,,,,,,,,,
user,User 50,user50@example.com,,,,,,,,,,,,,,,,
user,User 51,user51@example.com,,,,,,,,,,,,,,,,
user,User 52,user52@example.com,,,,,,,,,,,,,,,,
user,User 53,user53@example.com,,,,,,,,,,,,,,,,
user,User 54,user54@example.com,,,,,,,,,,,,,,,,
user,User 55,user55@example.com,,,,,,,,,,,,,,,,
user,User 56,user56@example.com,,,,,,,,,,,,,,,,
user,User 57,user57@example.com,,,,,,,,,,,,,,,,
user,User 58,user58@example.com,,,,,,,,,,,,,,,,
user,User 59,user59@example.com,,,,,,,,,,,,,,,,
user,User 60,user60@example.com,,,,,,,,,,,,,,,,
user,User 61,user61@example.com,,,,,,,,,,,,,,,,
user,User 62,user62@example.com,,,,,,,,,,,,,,,,
user,User 63,user63@example.com,,,,,,,,,,,,,,,,
user,User 64,user64@example.com,,,,,,,,,,,,,,,,
user,User 65,user65@example.com,,,,,,,,,,,,,,,,
user,User 66,user66@example.com,,,,,,,,,,,,,,,,
user,User 67,user67@example.com,,,,,,,,,,,,,,,,
user,User 68,user68@example.com,,,,,,,,,,,,,,,,
user,User 69,user69@example.com,,,,,,,,,,,,,,,,
user,User 70,user70@example.com,,,,,,,,,,,,,,,,
user,User 71,user71@example.com,,,,,,,,,,,,,,,,
user,User 72,user72@example.com,,,,,,,,,,,,,,,,
user,User 73,user73@example.com,,,,,,,,,,,,,,,,
user,User 74,user74@example.com,,,,,,,,,,,,,,,,
user,User 75,user75@example.com,,,,,,,,,,,,,,,,
user,User 76,user76@example.com,,,,,,,,,,,,,,,,
user,User 77,user77@example.com,,,,,,,,,,,,,,,,
