recordType,name,email,bio,description,rating,time,type,text,date,topic,tasks,title,isCompleted,dueDate,userId,courseId,specializationId,weekId
user,User 1,user1@example.com,,,,,,,,,,,,,,,,
user,User 2,user2@example.com,,,,,,,,,,,,,,,,
user,User 3,user3@example.com,,,,,,,,,,,,,,,,
user,User 4,user4@example.com,,,,,,,,,,,,,,,,
user,User 5,user5@example.com,,,,,,,,,,,,,,,,
user,User 6,user6@example.com,,,,,,,,,,,,,,,,
user,User 7,user7@example.com,,,,,,,,,,,,,,,,
user,User 8,user8@example.com,,,,,,,,,,,,,,,,
user,User 9,user9@example.com,,,,,,,,,,,,,,,,
user,User 10,user10@example.com,,,,,,,,,,,,,,,,
user,User 11,user11@example.com,,,,,,,,,,,,,,,,
user,User 12,user12@example.com,,,,,,,,,,,,,,,,
user,User 13,user13@example.com,,,,,,,,,,,,,,,,
user,User 14,user14@example.com,,,,,,,,,,,,,,,,
user,User 15,user15@example.com,,,,,,,,,,,,,,,,
user,User 16,user16@example.com,,,,,,,,,,,,,,,,
user,User 17,user17@example.com,,,,,,,,,,,,,,,,
user,User 18,user18@example.com,,,,,,,,,,,,,,,,
user,User 19,user19@example.com,,,,,,,,,,,,,,,,
user,User 20,user20@example.com,,,,,,,,,,,,,,,,
user,User 21,user21@example.com,,,,,,,,,,,,,,,,
user,User 22,user22@example.com,,,,,,,,,,,,,,,,
user,User 23,user23@example.com,,,,,,,,,,,,,,,,
user,User 24,user24@example.com,,,,,,,,,,,,,,,,
user,User 25,user25@example.com,,,,,,,,,,,,,,,,
user,User 26,user26@example.com,,,,,,,,,,,,,,,,
user,User 27,user27@example.com,,,,,,,,,,,,,,,,
user,User 28,user28@example.com,,,,,,,,,,,,,,,,
user,User 29,user29@example.com,,,,,,,,,,,,,,,,
user,User 30,user30@example.com,,,,,,,,,,,,,,,,
user,User 31,user31@example.com,,,,,,,,,,,,,,,,
user,User 32,user32@example.com,,,,,,,,,,,,,,,,
user,User 33,user33@example.com,,,,,,,,,,,,,,,,
user,User 34,user34@example.com,,,,,,,,,,,,,,,,
user,User 35,user35@example.com,,,,,,,,,,,,,,,,
user,User 36,user36@example.com,,,,,,,,,,,,,,,,
user,User 37,user37@example.com,,,,,,,,,,,,,,,,
user,User 38,user38@example.com,,,,,,,,,,,,,,,,
user,User 39,user39@example.com,,,,,,,,,,,,,,,,
user,User 40,user40@example.com,,,,,,,,,,,,,,,,
user,User 41,user41@example.com,,,,,,,,,,,,,,,,
user,User 42,user42@example.com,,,,,,,,,,,,,,,,
user,User 43,user43@example.com,,,,,,,,,,,,,,,,
user,User 44,user44@example.com,,,,,,,,,,,,,,,,
user,User 45,user45@example.com,,,,,,,,,,,,,,,,
user,User 46,user46@example.com,,,,,,,,,,,,,,,,
user,User 47,user47@example.com,,,,,,,,,,,,,,,,
user,User 48,user48@example.com,,,,,,,,,,,,,,,,
user,User 49,user49@example.com,,,,,,,,,,,,,,,,
user,User 50,user50@example.com,,,,,,,,,,,,,,,,
instructor,Instructor 1,,This is the bio for instructor 1,,4.1,,,,,,,,,,,,,
instructor,Instructor 2,,This is the bio for instructor 2,,0.2,,,,,,,,,,,,,
instructor,Instructor 3,,This is the bio for instructor 3,,2.0,,,,,,,,,,,,,
instructor,Instructor 4,,This is the bio for instructor 4,,3.8,,,,,,,,,,,,,
instructor,Instructor 5,,This is the bio for instructor 5,,1.4,,,,,,,,,,,,,
instructor,Instructor 6,,This is the bio for instructor 6,,3.5,,,,,,,,,,,,,
instructor,Instructor 7,,This is the bio for instructor 7,,5.0,,,,,,,,,,,,,
instructor,Instructor 8,,This is the bio for instructor 8,,3.6,,,,,,,,,,,,,
instructor,Instructor 9,,This is the bio for instructor 9,,4.7,,,,,,,,,,,,,
instructor,Instructor 10,,This is the bio for instructor 10,,0.6,,,,,,,,,,,,,
instructor,Instructor 11,,This is the bio for instructor 11,,0.7,,,,,,,,,,,,,
instructor,Instructor 12,,This is the bio for instructor 12,,2.5,,,,,,,,,,,,,
instructor,Instructor 13,,This is the bio for instructor 13,,3.6,,,,,,,,,,,,,
instructor,Instructor 14,,This is the bio for instructor 14,,4.8,,,,,,,,,,,,,
instructor,Instructor 15,,This is the bio for instructor 15,,0.9,,,,,,,,,,,,,
instructor,Instructor 16,,This is the bio for instructor 16,,4.7,,,,,,,,,,,,,
instructor,Instructor 17,,This is the bio for instructor 17,,1.1,,,,,,,,,,,,,
instructor,Instructor 18,,This is the bio for instructor 18,,1.5,,,,,,,,,,,,,
instructor,Instructor 19,,This is the bio for instructor 19,,1.4,,,,,,,,,,,,,
